0.000 0.000
0.063 0.062
0.127 0.129
0.190 0.185
0.254 0.256
0.317 0.306
0.381 0.379
0.444 0.421
0.508 0.496
0.571 0.530
0.635 0.605
0.698 0.630
0.762 0.704
0.825 0.720
0.889 0.792
0.952 0.798
1.015 0.867
1.079 0.864
1.142 0.928
1.206 0.915
1.269 0.974
1.333 0.952
1.396 1.005
1.460 0.974
1.523 1.019
1.587 0.980
1.650 1.017
1.714 0.970
1.777 0.998
1.841 0.945
1.904 0.964
1.967 0.904
2.031 0.914
2.094 0.849
2.158 0.849
2.221 0.780
2.285 0.771
2.348 0.698
2.412 0.680
2.475 0.606
2.539 0.578
2.602 0.503
2.666 0.467
2.729 0.393
2.793 0.349
2.856 0.276
2.919 0.225
2.983 0.155
3.046 0.097
3.110 0.031
3.173 -0.032
3.237 -0.093
3.300 -0.161
3.364 -0.216
3.427 -0.287
3.491 -0.335
3.554 -0.409
3.618 -0.449
3.681 -0.524
3.745 -0.556
3.808 -0.631
3.871 -0.653
3.935 -0.727
3.998 -0.741
4.062 -0.812
4.125 -0.816
4.189 -0.883
4.252 -0.878
4.316 -0.941
4.379 -0.926
4.443 -0.983
4.506 -0.959
4.570 -1.010
4.633 -0.977
4.697 -1.020
4.760 -0.979
4.823 -1.014
4.887 -0.965
4.950 -0.991
5.014 -0.936
5.077 -0.953
5.141 -0.891
5.204 -0.899
5.268 -0.833
5.331 -0.831
5.395 -0.761
5.458 -0.749
5.522 -0.676
5.585 -0.656
5.649 -0.581
5.712 -0.551
5.775 -0.476
5.839 -0.438
5.902 -0.364
5.966 -0.318
6.029 -0.246
6.093 -0.193
6.156 -0.124
6.220 -0.065
6.283 -0.000
